Date,Open,High,Low,Close,Adj Close,Volume
2019-07-24,1.115101,1.115573,1.113003,1.115126,1.115126,0
2019-07-25,1.114231,1.118693,1.110383,1.114243,1.114243,0
2019-07-26,1.114517,1.115324,1.111568,1.114616,1.114616,0
2019-07-29,1.113090,1.114455,1.111444,1.113214,1.113214,0
2019-07-30,1.114218,1.115810,1.113325,1.114305,1.114305,0
2019-07-31,1.115735,1.116445,1.112780,1.115797,1.115797,0
2019-08-01,1.107224,1.107297,1.102755,1.107175,1.107175,0
2019-08-02,1.108181,1.111420,1.107076,1.107886,1.107886,0
2019-08-05,1.110741,1.119946,1.110741,1.110803,1.110803,0
2019-08-06,1.124265,1.124973,1.117069,1.124379,1.124379,0
2019-08-07,1.120586,1.124099,1.118093,1.120699,1.120699,0
2019-08-08,1.120486,1.122838,1.118443,1.120436,1.120436,0
2019-08-09,1.118731,1.121982,1.118406,1.118718,1.118718,0
2019-08-12,1.120687,1.123028,1.116333,1.120850,1.120850,0
2019-08-13,1.121831,1.122826,1.117818,1.121831,1.121831,0
2019-08-14,1.117756,1.119100,1.113995,1.117706,1.117706,0
2019-08-15,1.114504,1.115900,1.109558,1.114330,1.114330,0
2019-08-16,1.111136,1.111358,1.106746,1.111358,1.111358,0
2019-08-19,1.109385,1.111000,1.108820,1.109385,1.109385,0
2019-08-20,1.108254,1.109900,1.106893,1.108316,1.108316,0
2019-08-21,1.109853,1.110741,1.108881,1.109779,1.109779,0
2019-08-22,1.109041,1.111400,1.106452,1.109078,1.109078,0
2019-08-23,1.108328,1.114900,1.105300,1.108402,1.108402,0
2019-08-26,1.114305,1.115250,1.110840,1.114305,1.114305,0
2019-08-27,1.110112,1.111852,1.108881,1.110371,1.110371,0
2019-08-28,1.109004,1.110001,1.107444,1.109004,1.109004,0
2019-08-29,1.108537,1.109016,1.105620,1.108586,1.108586,0
2019-08-30,1.105962,1.106097,1.098720,1.106195,1.106195,0
2019-09-02,1.099094,1.099747,1.095878,1.099179,1.099179,0
2019-09-03,1.096732,1.097731,1.093040,1.096852,1.096852,0
2019-09-04,1.097358,1.103499,1.097273,1.097454,1.097454,0
2019-09-05,1.103753,1.108279,1.101831,1.103497,1.103497,0
2019-09-06,1.103631,1.105742,1.102123,1.103631,1.103631,0
2019-09-09,1.102074,1.106525,1.101613,1.102062,1.102062,0
2019-09-10,1.104728,1.105950,1.103181,1.104838,1.104838,0
2019-09-11,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null
2019-09-23,null,null,null,null,null,null
2019-09-24,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null
2019-10-08,1.097273,1.099800,1.094667,1.097213,1.097213,0
2019-10-09,null,null,null,null,null,null
2019-10-10,1.098587,1.103387,1.098044,1.098780,1.098780,0
2019-10-11,1.101443,1.106200,1.100388,1.101103,1.101103,0
2019-10-14,1.102816,1.104300,1.101516,1.103000,1.103000,0
2019-10-15,1.102584,1.104545,1.099276,1.102901,1.102901,0
2019-10-16,1.103400,1.107628,1.102354,1.103473,1.103473,0
2019-10-17,1.107430,1.113995,1.106586,1.107493,1.107493,0
2019-10-18,1.112718,1.116196,1.111506,1.112718,1.112718,0
2019-10-21,1.115611,1.118068,1.114000,1.115573,1.115573,0
2019-10-22,1.115200,1.116071,1.112471,1.115175,1.115175,0
2019-10-23,1.112966,1.113338,1.110803,1.112929,1.112929,0
2019-10-24,1.113263,1.116570,1.109385,1.113239,1.113239,0
2019-10-25,1.110445,1.112595,1.108045,1.110396,1.110396,0
2019-10-28,1.108475,1.110667,1.107714,1.108426,1.108426,0
2019-10-29,1.110248,1.111877,1.107506,1.109915,1.109915,0
2019-10-30,1.111222,1.112595,1.110334,1.111482,1.111482,0
2019-10-31,1.115424,1.117693,1.113375,1.115449,1.115449,0
2019-11-01,1.115611,1.117443,1.113078,1.115710,1.115710,0
2019-11-04,1.116944,1.117701,1.114200,1.116657,1.116657,0
2019-11-05,1.112830,1.113900,1.106464,1.112855,1.112855,0
2019-11-06,1.107444,1.109509,1.106746,1.107420,1.107420,0
2019-11-07,1.107064,1.109139,1.103801,1.107040,1.107040,0
2019-11-08,1.103460,1.103814,1.101780,1.101970,1.101970,0
2019-11-11,1.102281,1.104362,1.101722,1.102244,1.102244,0
2019-11-12,1.103485,1.104118,1.100388,1.103546,1.103546,0
2019-11-13,1.101212,1.102050,1.100110,1.101237,1.101237,0
2019-11-14,1.100873,1.101783,1.099082,1.101322,1.101322,0
2019-11-15,1.102293,1.105583,1.101528,1.102050,1.102050,0
2019-11-18,1.105400,1.109100,1.105400,1.105510,1.105510,0
2019-11-19,1.107224,1.108525,1.106427,1.107236,1.107236,0
2019-11-20,1.108033,1.108279,1.105363,1.108000,1.108000,0
2019-11-21,1.107898,1.109644,1.106378,1.107886,1.107886,0
2019-11-22,1.106562,1.107861,1.102864,1.106586,1.106586,0
2019-11-25,1.102414,1.103387,1.100619,1.102256,1.102256,0
2019-11-26,1.101200,1.102657,1.100800,1.101443,1.101443,0
2019-11-27,1.102208,1.102208,1.099336,1.102256,1.102256,0
2019-11-28,1.100606,1.101928,1.100158,1.100485,1.100485,0
2019-11-29,1.101128,1.102670,1.098286,1.101176,1.101176,0
2019-12-02,1.101771,1.108918,1.100376,1.101904,1.101904,0
2019-12-03,1.107604,1.109262,1.106648,1.107911,1.107911,0
2019-12-04,1.108181,1.111346,1.106795,1.108525,1.108525,0
2019-12-05,1.108267,1.110494,1.107996,1.108303,1.108303,0
2019-12-06,1.110420,1.111235,1.104228,1.110543,1.110543,0
2019-12-09,1.105780,1.108033,1.105400,1.105889,1.105889,0
2019-12-10,1.106452,1.109755,1.106354,1.106499,1.106499,0
2019-12-11,1.109385,1.109878,1.107175,1.109275,1.109275,0
2019-12-12,1.113325,1.115337,1.111185,1.113586,1.113586,0
2019-12-13,1.118343,1.118693,1.111889,1.118606,1.118606,0
2019-12-16,1.112520,1.115785,1.112347,1.112446,1.112446,0
2019-12-17,1.113710,1.117319,1.113090,1.113697,1.113697,0
2019-12-18,1.115150,1.115150,1.111136,1.115138,1.115138,0
2019-12-19,1.111593,1.114243,1.110988,1.111593,1.111593,0
2019-12-20,1.112372,1.112595,1.107432,1.112595,1.112595,0
2019-12-23,1.107984,1.109755,1.107150,1.107984,1.107984,0
2019-12-24,1.109299,1.109755,1.107064,1.109385,1.109385,0
2019-12-25,1.109139,1.110864,1.107788,1.109016,1.109016,0
2019-12-26,1.109509,1.110494,1.108279,1.109545,1.109545,0
2019-12-27,1.110124,1.118068,1.110000,1.110112,1.110112,0
2019-12-30,1.118155,1.122070,1.118155,1.118230,1.118230,0
2019-12-31,1.120448,1.124101,1.120072,1.120230,1.120230,0
2020-01-01,1.122083,1.122838,1.115947,1.122083,1.122083,0
2020-01-02,1.121894,1.122712,1.116682,1.122083,1.122083,0
2020-01-03,1.117081,1.118068,1.112570,1.117144,1.117144,0
2020-01-06,1.116246,1.120825,1.115810,1.116196,1.116196,0
2020-01-07,1.119583,1.119946,1.113487,1.119799,1.119799,0
2020-01-08,1.115573,1.116520,1.111086,1.115474,1.115474,0
2020-01-09,1.111444,1.112223,1.109509,1.111321,1.111321,0
2020-01-10,1.110926,1.112100,1.108623,1.111111,1.111111,0
2020-01-13,1.111655,1.114467,1.111408,1.111667,1.111667,0
2020-01-14,1.113449,1.114579,1.110556,1.113573,1.113573,0
2020-01-15,1.112966,1.116346,1.112025,1.113090,1.113090,0
2020-01-16,1.115270,1.117194,1.112978,1.115400,1.115400,0
2020-01-17,1.113800,1.114500,1.108758,1.113958,1.113958,0
